,,,,,,,,Mar-16,,,,,,,,,,,,,,,,,,,
212,Rock melon,"Rock melon, loose, per Kg","Water melon, local, 5 medium size, red, 500-600vt",Market House, ,0,Y,,,,,,,,,,,,,,,,,,,,
213,Green coconut,"Green coconut, piece, per Kg","Green coconut, 1pc, local",Au Bon Marche Nambatu, ,0,Y,,,,,,,,,,,,,,,,,,,,
214,Green coconut,"Green coconut, piece, per Kg","Green coconut, 1Kg, local",Au Bon Marche Manples, ,0,Y,,,,,,,,,,,,,,,,,,,,
215,Green coconut,"Green coconut, piece, per Kg","Green coconut, 1Kg, local",Traverso, ,0,Y,,,,,,,,,,,,,,,,,,,,
216,Green coconut,"Green coconut, piece, per Kg","Green coconut, local, 5 fruits, medium, 30vt",Market House, ,0,Y,,,,,,,,,,,,,,,,,,,,
217,Pamplemous,"Pamplemous, loose, per Kg","Pamplemous, 1Kg, 120vt for 2 pc,local",Au Bon Marche Nambatu, ,0,Y,,,,,,,,,,,,,,,,,,,,
218,Pamplemous,"Pamplemous, loose, per Kg","Pamplemous, 1Kg, local",Au Bon Marche Manples, ,0,Y,,,,,,,,,,,,,,,,,,,,
219,Pamplemous,"Pamplemous, loose, per Kg","Pamplemous, 1Kg, local",Chew Store, ,0,N,,,,,,,,,,,,,,,,,,,,
220,Pamplemous,"Pamplemous, loose, per Kg","Pamplemous, local, 5big size, green marcots",Market House, ,0,Y,,,,,,,,,,,,,,,,,,,,
221,Lime,"Limes, loose, per Kg","Lime, local, 1Kg, local",Au Bon Marche Nambatu, ,0,Y,,,,,,,,,,,,,,,,,,,,
222,Lime,"Limes, loose, per Kg","Lime, local, 1Kg, local",Au Bon Marche Manples, ,0,Y,,,,,,,,,,,,,,,,,,,,
223,Lime,"Limes, loose, per Kg","Lime, local, 1Kg, local",Traverso, ,0,Y,,,,,,,,,,,,,,,,,,,,
224,Lime,"Limes, loose, per Kg","Lime, local, local, 5plastics, 100vt",Market House, ,0,Y,,,,,,,,,,,,,,,,,,,,
225,"Mandarine, imported","Mandarines, imported, loose, per Kg","Mandarine, 1Kg, imported",Au Bon Marche Nambatu, ,0,Y,,,,,,,,,,,,,,,,,,,,
226,"Mandarine, imported","Mandarines, imported, loose, per Kg","Mandarine, 1Kg, imported",Au Bon Marche Manples, ,0,Y,,,,,,,,,,,,,,,,,,,,
227,"Mandarine, imported","Mandarines, imported, loose, per Kg","Mandarine, 1Kg, imported",Traverso, ,0,Y,,,,,,,,,,,,,,,,,,,,
228,"Mandarine, local","Mandarines, local, loose, per Kg","Mandarine, local, 5 medium size of 30vt each",Market House, ,0,Y,,,,,,,,,,,,,,,,,,,,
229,Pineapples,"Pineapples, loose, per Kg","Pineapples, 1Kg, local",Au Bon Marche Nambatu, ,0,Y,,,,,,,,,,,,,,,,,,,,
230,Pineapples,"Pineapples, loose, per Kg","Pineapples, 1Kg, local",Au Bon Marche Manples, ,0,Y,,,,,,,,,,,,,,,,,,,,
231,Pineapples,"Pineapples, loose, per Kg","Pineapples, 1Kg, local",Traverso, ,0,Y,,,,,,,,,,,,,,,,,,,,
232,Pineapples,"Pineapples, loose, per Kg","Pineapples, local, 5 medium size, 200-300vt",Market House, ,0,Y,,,,,,,,,,,,,,,,,,,,
237,Yam,"Yam, basket, per Kg","Yam, Basket, local, 5baskets, 1000vt each",Market House, ,0,Y,,,,,,,,,,,,,,,,,,,,
238,Island taro,"Island taro, basket, per Kg","Island taro, local, 5bundles, 500-600vt",Market House, ,0,Y,,,,,,,,,,,,,,,,,,,,
239,Manioc,"Manioc (kassava), basket, per Kg","Manioc (kassava), Basket, local,5 baskets, 500-600vt",Market House, ,0,Y,,,,,,,,,,,,,,,,,,,,
240,Sweet Potato (Kumala),"Sweet potato (kumala), basket, per Kg","Sweet Potato, Basket, local, 5baskets, 500-600vt",Market House, ,0,Y,,,,,,,,,,,,,,,,,,,,
241,Taro (Fiji),"Taro, basket, per Kg","Taro Fiji, Basket, 11Kg, local,5 baskets, 500-600vt",Market House, ,0,Y,,,,,,,,,,,,,,,,,,,,
242,Potato,"Potatoes, red, loose, per Kg","Red potatoes, 1Kg, local",Au Bon Marche Nambatu, ,0,Y,,,,,,,,,,,,,,,,,,,,
243,Potato,"Potatoes, red, loose, per Kg","Red potatoes, 1Kg, local",Traverso, ,0,Y,,,,,,,,,,,,,,,,,,,,
244,Potato,"Potatoes, red, loose, per Kg","Red potatoes, 1Kg",Au Bon Marche Manples, ,0,Y,,,,,,,,,,,,,,,,,,,,
245,Potato,"Potatoes, white, loose, per Kg","White potatoes, 1Kg, local",Au Bon Marche Nambatu, ,0,Y,,,,,,,,,,,,,,,,,,,,
246,Potato,"Potatoes, white, loose, per Kg","White potatoes, 1Kg, local",Traverso, ,0,Y,,,,,,,,,,,,,,,,,,,,
247,Potato,"Potatoes, white, loose, per Kg","White not washed potatoes, 1Kg, local",Au Bon Marche Manples, ,0,Y,,,,,,,,,,,,,,,,,,,,
248,Potato,"Potatoes, white, loose, per Kg","Sweet white kumala, local, 5 baskets, 500-600vt",Market House, ,0,Y,,,,,,,,,,,,,,,,,,,,
249,Carrot imported,"Carrots, imported, loose, per Kg","Carrots, 1Kg",Au Bon Marche Nambatu, ,0,Y,,,,,,,,,,,,,,,,,,,,
250,Carrot imported,"Carrots, imported, loose, per Kg","Carrots, 1Kg, imported",Au Bon Marche Manples, ,0,N,,,,,,,,,,,,,,,,,,,,
251,Carrot imported,"Carrots, imported, loose, per Kg","Carrots, 1Kg",Traverso, ,0,Y,,,,,,,,,,,,,,,,,,,,
252,Carrot local,"Carrots, loose, per Kg","Fresh carrots, 1Kg",Au Bon Marche Manples, ,0,Y,,,,,,,,,,,,,,,,,,,,
253,Carrot local,"Carrots, loose, per Kg","Fresh carrots, local, 5 bundles, 100vt",Market House, ,0,Y,,,,,,,,,,,,,,,,,,,,
254,Radish,"Radish, pkt, per Kg","Radish, 1Kg",Au Bon Marche Nambatu, ,0,Y,,,,,,,,,,,,,,,,,,,,
255,Radish,"Radish, pkt, per Kg","Radish, Pkt",Au Bon Marche Manples, ,0,Y,,,,,,,,,,,,,,,,,,,,
256,Radish,"Radish, pkt, per Kg","Radish, Pkt",Traverso, ,0,Y,,,,,,,,,,,,,,,,,,,,
257,Radish,"Radish, pkt, per Kg","Radish, local, 5bundles, 100vt",Market House, ,0,Y,,,,,,,,,,,,,,,,,,,,
258,Lettuce local,"Lettuce, per Kg","Lettuce, 1Kg, local",Au Bon Marche Nambatu, ,0,Y,,,,,,,,,,,,,,,,,,,,
259,Lettuce local,"Lettuce, per Kg","Lettuce, 1Kg, local",Au Bon Marche Manples, ,0,Y,,,,,,,,,,,,,,,,,,,,
260,Lettuce local,"Lettuce, per Kg","Lettuce, 1Kg, local",Traverso, ,0,Y,,,,,,,,,,,,,,,,,,,,
261,Lettuce local,"Lettuce, per Kg","Lettuce, local, 5 medium rings, 300-400vt",Market House, ,0,Y,,,,,,,,,,,,,,,,,,,,
262,Lettuce imported,"Lettuce, imported, per Kg","Lettuce, 1Kg, imported",Au Bon Marche Nambatu, ,0,Y,,,,,,,,,,,,,,,,,,,,
263,Lettuce imported,"Lettuce, imported, per Kg","Lettuce, 1Kg, imported",Au Bon Marche Manples, ,0,Y,,,,,,,,,,,,,,,,,,,,
264,Lettuce imported,"Lettuce, imported, per Kg","Lettuce, 1Kg, imported",Traverso, ,0,Y,,,,,,,,,,,,,,,,,,,,
265,Tomato imported,"Tomato, loose, per Kg","Tomato, 1Kg, imported",Au Bon Marche Nambatu, ,0,Y,,,,,,,,,,,,,,,,,,,,
266,Tomato local,"Tomato, local, loose, per Kg","Tomato, 1Kg, local",Au Bon Marche Manples, ,0,Y,,,,,,,,,,,,,,,,,,,,
267,Tomato imported,"Tomato, loose, per Kg","Tomato, 1Kg, imported, small size",Traverso, ,0,Y,,,,,,,,,,,,,,,,,,,,
268,Tomato imported,"Tomato, loose, per Kg","Tomato, local, 10 fruits, big size, 50-60vt",Market House, ,0,Y,,,,,,,,,,,,,,,,,,,,
269,Tomato imported,"Tomato, loose, per Kg","Tomato, 1Kg, imported",Au Bon Marche Nambatu, ,0,Y,,,,,,,,,,,,,,,,,,,,
270,Tomato imported,"Tomato, imported, loose, per Kg","Tomato, 1Kg, imported",Au Bon Marche Manples, ,0,Y,,,,,,,,,,,,,,,,,,,,
271,Tomato imported,"Tomato, loose, per Kg","Tomato, 1Kg, imported, big size",Traverso, ,0,Y,,,,,,,,,,,,,,,,,,,,
272,Cucumber,"Cucumber, loose, per Kg","Cucumber, 1Kg",Au Bon Marche Nambatu, ,0,Y,,,,,,,,,,,,,,,,,,,,
273,Cucumber,"Cucumber, loose, per Kg","Cucumber, 1Kg",Au Bon Marche Manples, ,0,Y,,,,,,,,,,,,,,,,,,,,
274,Cucumber,"Cucumber, loose, per Kg","Cucumber, 1Kg",Traverso, ,0,Y,,,,,,,,,,,,,,,,,,,,
275,Cucumber,"Cucumber, loose, per Kg","Cucumber, local,5medium size, 100vt each",Market House, ,0,Y,,,,,,,,,,,,,,,,,,,,
276,Beans,"Long beans, loose, per Kg","Long beans, 1Kg",Au Bon Marche Nambatu, ,0,Y,,,,,,,,,,,,,,,,,,,,
277,Beans,"Long beans, loose, per Kg","Long beans, Pkt, local",Au Bon Marche Manples, ,0,Y,,,,,,,,,,,,,,,,,,,,
278,Beans,"Long beans, loose, per Kg","Long beans, 1Kg",Traverso, ,0,Y,,,,,,,,,,,,,,,,,,,,
1100,DVD player,"DVD player, name brand, single disc","DVD player, shenger, MPEG 4, photo of Rastaman",9 Ocean shopping centre,0,8,N,,,,,,,,,,,,,,,,,,,,
280,Beans,"Dwarf beans, loose, per Kg","Dwarf beans, 1Kg",Au Bon Marche Nambatu, ,0,Y,,,,,,,,,,,,,,,,,,,,
281,Beans,"Dwarf beans, loose, per Kg","Dwarf beans, 1Kg",Au Bon Marche Manples, ,0,Y,,,,,,,,,,,,,,,,,,,,
282,Beans,"Dwarf beans, loose, per Kg","Dwarf beans Skyland, 1Kg",Traverso, ,0,Y,,,,,,,,,,,,,,,,,,,,
283,Beans,"Dwarf beans, loose, per Kg","Dwarf beans, local, 5 plastics for 100-150vt",Market House, ,0,Y,,,,,,,,,,,,,,,,,,,,
284,Pumpkin,"Pumpkin, per Kg","Pumpkin, 1Kg",Au Bon Marche Nambatu, ,0,Y,,,,,,,,,,,,,,,,,,,,
285,Pumpkin,"Pumpkin, per Kg","Pumpkin, 1Kg",Au Bon Marche Manples, ,0,Y,,,,,,,,,,,,,,,,,,,,
286,Pumpkin,"Pumpkin, per Kg","Pumpkin, 1Kg",Traverso, ,0,Y,,,,,,,,,,,,,,,,,,,,
287,Pumpkin,"Pumpkin, per Kg","Pumpkin, 5 medium size, yellow, 200-300vt",Market House, ,0,Y,,,,,,,,,,,,,,,,,,,,
288,Garlic,"Garlic, loose, per Kg","Garlic, 1Kg",Au Bon Marche Nambatu, ,0,Y,,,,,,,,,,,,,,,,,,,,
289,Garlic,"Garlic, loose, per Kg","Garlic, 1Kg",Au Bon Marche Manples, ,0,Y,,,,,,,,,,,,,,,,,,,,
290,Garlic,"Garlic, loose, per Kg","Garlic, 1Kg",Traverso, ,0,Y,,,,,,,,,,,,,,,,,,,,
291,Corn,"Corn, loose, per Kg","Sweet Corn, 1Kg",Au Bon Marche Nambatu, ,0,Y,,,,,,,,,,,,,,,,,,,,
292,Corn,"Corn, loose, per Kg","Sweet Corn, 1Kg",Au Bon Marche Manples, ,0,Y,,,,,,,,,,,,,,,,,,,,
293,Corn,"Corn, loose, per Kg","Sweet Corn, Pkt",Traverso, ,0,Y,,,,,,,,,,,,,,,,,,,,
294,Corn,"Corn, loose, per Kg","Corn, local,5 bundles, 100vt",Market House, ,0,Y,,,,,,,,,,,,,,,,,,,,
295,Onion,"Onions, loose, per Kg","Onions, 1Kg",Au Bon Marche Nambatu, ,0,Y,,,,,,,,,,,,,,,,,,,,
296,Onion,"Onions, loose, per Kg","Onions, 1Kg",Au Bon Marche Manples, ,0,Y,,,,,,,,,,,,,,,,,,,,
297,Onion,"Onions, loose, per Kg","Onions, 1Kg",Traverso, ,0,Y,,,,,,,,,,,,,,,,,,,,
298,Beema (chili),"Chilli, loose, per Kg","Chili, local, 5 plastics for 100vt",Market House, ,0,Y,,,,,,,,,,,,,,,,,,,,
299,Bowl cabbage,"Cabbage, bowl, per Kg","Bowl cabbage, single, local, 5 medium size, 100-200vt",Market House, ,0,Y,,,,,,,,,,,,,,,,,,,,
300,Chinese cabbage,"Cabbage, Chinese, per Kg","Chinese cabbage, local, medium size, 5 bundles, 100-200vt",Market House, ,0,Y,,,,,,,,,,,,,,,,,,,,
302,Ginger,"Ginger, loose, per Kg","Ginger, local, 5 bundles/plastics, 200vt",Market House, ,0,Y,,,,,,,,,,,,,,,,,,,,
303,"Laplap (Yam, banana)","Laplap (Yam, banana), standard?, per Kg?","4 pieces Laplap, local, medium size, yam, banana, taro, manioc",Market House, ,10,N,,,,,,,,,,,,,,,,,,,,
305,"Herbs, fresh","Parsley, bunch, per Kg","Parsley, local, 10 bundles, 100vt",Market House, ,0,Y,,,,,,,,,,,,,,,,,,,,
306,Pumpkin top,"Pumpkin top, loose, per Kg","Top of pumkin, local, 3 medium size bundles, 100 - 150vt",Market House, ,0,Y,,,,,,,,,,,,,,,,,,,,
307,Snake beans,"Snake Beans, loose, per Kg","Snake beans, local, 3 medium size bundles, 100vt",Market House, ,0,Y,,,,,,,,,,,,,,,,,,,,
308,Spring onion,"Spring onions, loose, per Kg","Spring onion, local, 5 medium size bundles, 100vt",Market House, ,0,Y,,,,,,,,,,,,,,,,,,,,
309,Sugarcane,"Sugurcane, unit? Weight? Per Kg?","Sugarcane, local, 5 long ones for 1.5m",Market House, ,0,Y,,,,,,,,,,,,,,,,,,,,
310,Vanilla bean,"Vanilla, loose, per Kg","Vanilla, 1Kg, local",Market House, ,0,Y,,,,,,,,,,,,,,,,,,,,
