ItemId,Eas,Specification,LocalDescription,Outlet,Address,CollDay,Active,Dec-08,Mar-09,Jun-09,Sep-09,Dec-09,Mar-10,Jun-10,Sep-10,Dec-10,Mar-11,Jun-11,Sep-11,Dec-11,Mar-12,Jun-12,Sep-12,Dec-12,Mar-13,Jun-13,Sep-13,Dec-13,Mar-14,Jun-14,Sep-14,Dec-14,Mar-15,Jun-15,Sep-15,Dec-15,Mar-16,Jun-16,Sep-16,Dec-16,Mar-17,Jun-17,Sep-17,Dec-17,Mar-18,Jun-18,Sep-18,Dec-18,Mar-19,Jun-19,Sep-19,Dec-19,Mar-20,Jun-20,
240,Sweet Potato (Kumala),"Sweet potato (kumala), basket, per Kg","Sweet Potato, Basket, local, 5baskets, 500-600vt",Market House, ,0,Y,13.5,10,13,13.2,13.2,23.7,18.6,12.9,12.9,12.9,,,,18,20.92,18.2,19.6,17.56,17.56,17.56,19.6,18.4,18.4,18.4,18.4,18.4,19.5,33.4,18.4,34.32,34.32,19.5,18.4,18.4,31.5,31.7,35.63,30.75,51.94,40.34,38.25,30.63,10.72,10.72,28.33,37.05,,
241,Taro (Fiji),"Taro, basket, per Kg","Taro Fiji, Basket, 11Kg, local,5 baskets, 500-600vt",Market House, ,0,Y,9.8,8.9,22,22,22,16.2,17.5,19,19,19,12.1,,,16,15,19.3,20.1,14.68,14.68,14.68,20.1,21.2,21.2,21.2,21.2,21.2,14.5,,21.2,11.6,29.4,14.5,21.2,21.2,11.41,29.4,,39.78,,25.08,31.34,31.01,,,28.87,40.52,,
242,Potato,"Potatoes, red, loose, per Kg","Red potatoes, 1Kg, local",Au Bon Marche Nambatu, ,0,Y,1,1,1,1,1,1,1,1,1,1,,,,,1,,1,1,1,1,1,1,1,1,1,1,,,1,1,1,,1,1,1,1,,,,,,,,,,,,
243,Potato,"Potatoes, red, loose, per Kg","Red potatoes, 1Kg, local",Traverso, ,0,Y,1,1,1,1,1,1,1,1,1,1,,1,1,,,,1,,,,1,1,1,1,1,1,,,1,1,1,,1,1,,,,1,,1,,,,,,,,
244,Potato,"Potatoes, red, loose, per Kg","Red potatoes, 1Kg",Au Bon Marche Manples, ,0,Y,1,1,1,1,1,1,,,,,,,,,,,1,,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,,,,,,,,,,1,,
245,Potato,"Potatoes, white, loose, per Kg","White potatoes, 1Kg, local",Au Bon Marche Nambatu, ,0,Y,1,1,1,1,1,1,1,1,1,1,1,,,1,1,,,1,1,1,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,
246,Potato,"Potatoes, white, loose, per Kg","White potatoes, 1Kg, local",Traverso, ,0,Y,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,,
247,Potato,"Potatoes, white, loose, per Kg","White not washed potatoes, 1Kg, local",Au Bon Marche Manples, ,0,Y,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,,
248,Potato,"Potatoes, white, loose, per Kg","Sweet white kumala, local, 5 baskets, 500-600vt",Market House, ,0,Y,1,1,20.5,21.8,21.8,18.3,18.1,15.4,15.4,15.4,,,,21,23,17,18.5,20.06,20.06,20.06,18.5,19.6,19.6,19.6,19.6,19.6,13.56,,19.6,,17.7,13.56,19.6,19.6,22.29,,,,39.58,37.75,38.15,31.34,39.34,37.37,,,,
249,Carrot imported,"Carrots, imported, loose, per Kg","Carrots, 1Kg",Au Bon Marche Nambatu, ,0,Y,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
250,Carrot imported,"Carrots, imported, loose, per Kg","Carrots, 1Kg, imported",Au Bon Marche Manples, ,0,N,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
