ItemId,Eas,Specification,LocalDescription,Outlet,Address,CollDay,Active,Dec-08,Mar-09,Jun-09,Sep-09,Dec-09,Mar-10,Jun-10,Sep-10,Dec-10,Mar-11,Jun-11,Sep-11,Dec-11,Mar-12,Jun-12,Sep-12,Dec-12,Mar-13,Jun-13,Sep-13,Dec-13,Mar-14,Jun-14,Sep-14,Dec-14,Mar-15,Jun-15,Sep-15,Dec-15,Mar-16,Jun-16,Sep-16,Dec-16,Mar-17,Jun-17,Sep-17,Dec-17,Mar-18,Jun-18,Sep-18,Dec-18,Mar-19,Jun-19,Sep-19,Dec-19,Mar-20,Jun-20
31,French loaf 30 cm,"French loaf, 30 cm, unsliced","French loaf freshly packed, 30 cm, La Parisienne, 10 loaves",Tebakor Shopping Center, ,0,N,1.9,2.1,1.997,2,2,1.999,2.2,,,,,,,1.75,1.79,1.85,1.85,1.87,1.87,1.87,1.85,1.75,1.75,1.75,1.75,1.75,1.82,1.89,1.75,1.85,1.85,1.75,1.85,1.85,1.85,,,2.14,,2.18,,2.16,2.15,2.15,,,
32,French loaf 30 cm,"French loaf, 30 cm, unsliced","French loaf freshly packed, 30 cm, loaf shack, 10 loaves",Traverso, ,0,Y,2,2,2.003,2.1,2.1,2,1,1,1,,,,,1.83,1.89,,,,,,,,,,,,,1.89,,2.1,2.1,,2.1,2.1,2.1,,,2.16,,,,2.16,,,,1,
33,French loaf 30 cm,"French loaf, 30 cm, unsliced","French loaf freshly packed, 30 cm, Ah Pow, 10 loaves",Au Bon Marche manples, ,0,Y,1.9,2.2,1.898,2,2,2,2.4,1.995,1.995,1.8,1.8,,1.8,1.8,1.86,1.87,1.87,,,,,,,,,,1.81,1.98,,2.1,2.1,,2.1,2.1,2.1,1.71,2.16,2.14,2.18,2.16,2.14,2.16,2.16,2.16,1.89,,
34,French loaf 30 cm,"French loaf, 30 cm, unsliced","French loaf freshly packed, 30 cm, Ah Pow, 10 loaves",Chew Store, ,0,Y,1.8,2,1.899,2,2,1.999,2.1,2.115,2.115,1.85,1.85,,1.85,1.98,1.86,,,1.79,1.79,1.79,1.75,1.77,1.77,1.77,1.77,1.77,1.79,1.685,1.77,1.85,1.85,1.77,1.85,1.85,1.85,,,,,,,2.16,2.15,2.15,,,
35,English loaf 30 cm,"English loaf, 30 cm, unsliced","English local loaf, 3 loaves",Market House, ,0,Y,2.3,2.3,2.1,1.998,1.999,1.998,2.1,2.3,2.3,2.06,2.06,,2.06,2.02,2.45,2.01,2.01,2.1,2.1,2.1,1.98,2.1,2.1,2.1,2.1,2.1,1.9,1.895,2.1,1.2,1.2,2.1,1.2,1.2,1.2,,,,,,,,,,,,
36,English loaf 30 cm,"English loaf, 30 cm, unsliced","English local loaf, 3 loaves",Fresh Water III, ,0,Y,2.5,2.5,2.3,2.3,2.3,2.1,1.9,1.994,1.994,2.1,2.1,,2.1,2.4,1.86,1.75,1.75,,,,,,,,,,,1.97,,1.9,1.9,,1.9,1.9,1.9,,,,,,,,,,,,
185,Orange,"Oranges, loose, per Kg","Oranges, 1Kg, Australia",Au Bon Marche Nambatu, ,0,Y,1,1,1,1,1,1,1,1,1,1,1,,1,1,,,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
186,Orange,"Oranges, loose, per Kg","Oranges, 1Kg, Australia",Au Bon Marche Manples, ,0,Y,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,,,,,,,,,,1,1,,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,,
187,Orange,"Oranges, loose, per Kg","Oranges RG, 1Kg, Australia",Traverso, ,0,Y,1,1,1,1,1,1,1,1,1,,,,,1,,,,,,,,,,,,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
188,Orange,"Oranges, loose, per Kg","Oranges, local, 5 medium size",Market House, ,0,Y,1.1,1.1,1.2,1.8,,2.7,2.7,1.8,1.8,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,1.58,,,,1.73,1.73,,,
189,Apple,"Apples, loose, per Kg","Apple, 1Kg, Australia",Au Bon Marche Nambatu, ,0,Y,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
190,Apple,"Apples, loose, per Kg","Apple, 1Kg, Australia",Au Bon Marche Manples, ,0,Y,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,,,,,,,,,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
191,Apple,"Apples, loose, per Kg","Red Apple, 1Kg, Australia",Traverso, ,0,Y,1,1,1,1,1,1,1,1,1,,,,,1,,,,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
